orgUnit_name,period,AFP Confirmed,AFP Sent to Lab,AFP suspected,Anthrax confirmed,Anthrax sent to lab,Anthrax suspected,Cholera confirmed,Cholera sent to lab,Cholera suspected,Diarrhoea Non-Bloody confirmed,Diarrhoea Non-Bloody sent to lab,Diarrhoea Non-Bloody suspecteded,Malaria confirmed,Malaria sent to lab,Malaria suspected,Measles confirmed,Measles sent to lab,Measles suspected,Monkeypox sent to lab,Monkeypox suspected,Plague sent to Lab,Plague suspected,Typhoid fever confirmed,Typhoid fever sent to Lab,Typhoid fever suspected
mu Muchinga Province,2024W18,0,0,0,0,0,0,0,0,0,0,1,679,6896,11843,14432,0,0,11,0,0,0,0,0,0,0
no Northern Province,2024W18,0,0,0,0,0,0,0,0,1,0,2,1584,13837,24560,24983,0,3,49,0,0,0,0,0,0,0
ls Lusaka Province,2024W18,0,0,2,0,0,1,1,12,17,53,101,1507,1041,5554,5773,0,1,1,0,0,0,0,0,0,0
ea Eastern Province,2024W18,0,1,1,0,0,1,0,0,1,11,21,3005,30477,51285,53184,0,4,5,0,0,0,0,0,0,0
lu Luapula Province,2024W18,0,3,3,0,0,0,0,0,0,0,19,1383,19861,30854,32388,0,0,0,0,0,0,0,0,0,0
ce Central Province,2024W18,0,0,0,0,0,0,0,0,0,0,28,2660,12729,25587,25907,2,4,9,0,0,0,0,0,0,0
co Copperbelt Province,2024W19,0,0,0,0,0,0,2,16,16,209,214,2110,17423,33019,37572,0,0,1,0,0,0,0,0,0,2
nw North-Western Province,2024W19,0,1,1,0,0,0,0,0,0,771,465,1751,21752,37815,38015,0,0,5,0,0,0,0,0,14,15
so Southern Province,2024W19,0,0,0,0,0,1,0,0,2,0,0,3651,524,3320,3406,0,0,0,0,0,0,0,0,0,0
we Western Province,2024W19,0,0,0,0,0,0,0,0,0,13,13,2451,8133,17116,21959,0,0,0,0,0,0,0,0,0,0
